Item name,Supplier,Supplier code,Item size,Item Unit of Measure,€ Price per unit (excluding VAT),Tax rate
"Foie Gras - Restaurant Lafitte, X Kg Fz",Artisan Foods,,1000,g,59.75,0.0%
"Foie Gras, Brasserie Lafitte, X Kg Fz",Artisan Foods,,1000,g,59.75,0.0%
Food Powder Carmine Fir Tree ( Red) (500G),Vegetable Nation,31549,500,g,16.50,0%
Forum Cab Sauv Vinegar 1 Ltr,Artisan Foods,,1000,ml,21.50,0.0%
Forum Chardonnay Vinegar 1 Ltr,Artisan Foods,,1000,ml,21.95,0.0%
Frangelico 70Cl 20%,Vagawond,3239,700,ml,152.95,23.0%
Freedom Mop Blue X 1,Catering Providers,6401386,1,ea,5.95,23.0%
Freedom Mop Red X 1,Catering Providers,6401387,1,ea,5.95,23.0%
Fresh Cream,Brokes Food,780030,4000,ml,19.25,0.0%
Fresh Cream 4 Litre,Brokes Food,780030,4000,ml,21.50,0.0%
"Fresh Traditional Puff Pastry Roll ~4.25Kg,",Fine Foods,040.200.001,4250,g,38.98,0%
"Fried Onion Crispy, Sosa, 300G",Fine Foods,150.400.020,300,g,9.25,0%
Frozen Scallop Meat,Fish Galore,DSCF,1000,g,28.00,0.0%
Fruit Dried- Raisins Golden (1Kg),Vegetable Nation,54035,1000,g,6.00,0%
Fruit Frozen- Mixed Forest Berries (2.5Kg),Vegetable Nation,52033,2500,g,16.80,0%
Fruit Frozen- Raspberries Whole (2.5Kg),Vegetable Nation,52034,2500,g,14.90,0%
Fruit Frozen- Rhubarb Chopped (1Kg X 5),Vegetable Nation,52038,1000,ml,21.80,0%
Fruit Frozen- Strawberries (2.5Kg),Vegetable Nation,52035,2500,g,13.90,0%
"Frz-Smoked Eel Fillet, 100G",Fine Foods,099.070.121,100,g,9.65,0%
Gaia Assyrtiko Wild Ferment,O'Briens Wines,11WGR001,3,ea,26.91,23%
Galangal Ginger 1Kg,Vegetable Nation,GAG01K,1000,g,17.50,0.0%
Garden Peas Frozen,Vegetable Nation,GPF01,2.5,kg,5.95,
Garlic Black Tubs 70G,Vegetable Nation,GBT01E,70,g,3.00,0.0%
Garlic Peeled 1Kg,Brokes Food,270601,1000,g,5.99,0.0%
Garlic Wild 1Kg,Vegetable Nation,GAW01,1000,g,14.50,0%
Gelatine Leaf (X400) 1Kg Pack,Vegetable Nation,33055,1000,g,26.95,0%
Gem Demerara Brown Sugar 3Kg,Catering Providers,1103774,3000,g,7.25,0.0%
Giffard Abricot Brandy 25%,Vagawond,11938,1,ea,114.12,23.0%
Giffard Syrup Agava 70Cl Glass,Vagawond,11904,700,ml,66.48,23.0%
Giffard Syrup Orgeat (Almond) 6X1Lt,Vagawond,12006,1000,ml,52.94,23.0%
Giffard Syrup Vanilla 6X1Lt,Vagawond,11978,1000,ml,52.94,23.0%
Gin Mare 70Cl 42.7%,Vagawond,91029,700,ml,265.42,23.0%
Ginger,Brokes Food,96081,1,ea,1.18,
Glaze Dishwash Tablets Pk 120,Catering Providers,7450358,120,ea,23.84,23.0%
Gloves Clear Vinyl,Brokes Food,790101,10,ea,20.40,
Glucose Syrup (1Kg),Vegetable Nation,79000,1000,g,5.60,0%
Goats Cheese Log 1Kg,Brokes Food,DACHG,1000,g,13.55,0.0%
Goats Log (3836) 1Kg,Vegetable Nation,GOL01E,1000,g,13.75,0.0%
Goatsbridge Trout Caviar (85G),Vegetable Nation,19057,85,g,12.50,0%
Gold River Farm Mixed Salad Leaves (1Kg) 22251,Vegetable Nation,22234,1000,g,12.95,0%
Golden Raisins 1Kg,Brokes Food,721012,1000,g,4.25,0.0%
Gordons Pink Gin 1Lt 37.5%,Vagawond,10551,1000,ml,186.49,23.0%
Gran Cerdo Tempranillo Red,Le Caveau,LCSP13,750,ml,127.20,23%
Grand Marnier 700Ml,Catering Providers,2203348,700,ml,34.73,23.0%
Grand Marnier 70Cl 40%,Vagawond,3067,700,ml,205.41,23.0%
Grape Green 500G,Vegetable Nation,GRG03E,500,g,2.50,0.0%
Grape Mixed,Brokes Food,94034i,1,ea,2.80,
Grape Red 500G,Vegetable Nation,GRR03E,500,g,3.75,0.0%
Gubbeen Smokehouse Chorizo (1Kg) Kilo,Vegetable Nation,16183,1000,g,26.95,0%
Gubbeen Smokehouse Salami Large (1Kg) Kilo,Vegetable Nation,16186,1000,g,24.40,0%
Guinea Fowl Supremes (200G X24) Kilo,Vegetable Nation,11064,200,g,23.95,0%
Guinness Keg 50Lt 4.2%,Vagawond,1701,50000,ml,175.06,23.0%
Halibut Fresh,Fish Galore,DHALI,1000,g,22.50,0.0%
Ham- Parma Style Sliced (500G),Vegetable Nation,16004,500,g,14.80,0%
Ham- Prosciutto Sliced (400G) (24 Slices),Vegetable Nation,16056,400,g,11.90,0%
Ham- Serrano Sliced (500G) (24 Slices),Vegetable Nation,16008,500,g,14.80,0%
Ham- Speck Italian Smoked (2.4Kg) Kilo,Vegetable Nation,16036,2400,g,13.95,0%
Harissa Paste (850G),Vegetable Nation,24037,850,g,5.60,0%
Harp Keg 50Ltr,Vagawond,11138,50000,ml,180.00,23.0%
Hazelnut Whole Skin On 1Kg,Brokes Food,744016,1000,g,22.26,0.0%
Hazelnuts 1Kg,Vegetable Nation,HAZ01E,1000,g,16.60,0.0%
Heineken 0.0% 330Ml X 24 Nrb,Catering Providers,2363121,24,ea,21.50,23.0%
Heineken Keg 50Lt,Vagawond,1706,50000,ml,200.57,23.0%
Hendricks Gin 70Cl 41.4%,Vagawond,911,700,ml,188.00,23.0%
Hennessy 700Ml,Catering Providers,2203898,700,ml,30.50,
Hennessy 70Cl 40%,Vagawond,838,700,ml,364.03,23.0%
Herb Chervil,Brokes Food,185903,100,g,1.79,0.0%
Herb Chives 1Kg,Brokes Food,185054,1000,g,17.95,0.0%
Herb Coriander Packet 100G,Brokes Food,185974,100,g,1.79,0.0%
Herb Oregano Packet 100G,Brokes Food,185998,100,g,1.79,0.0%
Herb Parsley Flat,Brokes Food,185101,1000,g,10.50,0.0%
Herb Parsley Flat 1Kg,Brokes Food,HERLFPK,1000,g,10.50,0%
Herb Rocket,Brokes Food,97741,1,ea,3.75,
Herb Rosemary Packet,Brokes Food,185978,100,g,1.79,0.0%
Herb Rosemary Packet 100G,Brokes Food,HERLRY,100,g,1.79,0%
Herb Sage Packet 100G,Brokes Food,HERLSA,100,g,1.79,0.0%
Herb Samphire 1Kg Loose,Brokes Food,97750,1000,g,14.95,
Herb Tarragon 100G,Brokes Food,97754,100,g,1.85,
Herb Thyme Packet,Brokes Food,185981,100,g,1.79,0.0%
Herb Thyme Packet 100G,Brokes Food,HERLTH,100,g,5.99,0%
Herb Various Dill 1Kg,Brokes Food,97715,1,kg,11.50,
Highbank Orchard Syrup Irish Organic (2.5L),Vegetable Nation,70002,2500,ml,67.90,0%
Honey 1 Litre,Brokes Food,730012,1000,ml,5.50,0.0%
Honey 1 X 3.17Kg,Brokes Food,730000,3.17,kg,12.99,
Honey Ice Cream 5Ltrx1Pk,Odaios Foods,140609,5000,ml,54.63,23%
Hop House Larger 30L Keg 5%,Vagawond,21034,30000,ml,108.58,23.0%
Horse Radish Each,Vegetable Nation,HOR01E,1,ea,3.00,0.0%
Horseradish Paste (1Kg),Vegetable Nation,21041,1000,g,19.80,0%
Hygiene Washing Up Liquid,Brokes Food,711001,5,L,10.66,
"Igavi Wines, Aladasturi",Le Caveau,LCGEO02C,750,ml,121.63,23%
Il Padrino Bianco,O'Briens Wines,13WITA010,6,ea,7.00,23%
Il Padrino Nero D'Avola,O'Briens Wines,13WITA013,12,ea,7.00,23%
Il Padrino Rosso,O'Briens Wines,13WITA011,12,ea,7.00,23%
Iqf Raw Tiger Prawns Pd 16/20,Vegetable Nation,,1000,g,,
Irish Nature Beef Tomahawk Steak 1X800-1200Gm,Sysco,BF1193,1,ea,19.75,0%
J Cloth 1 X 50,Brokes Food,790100,50,ea,3.73,23.0%
Jack Daniels 70Cl 40%,Vagawond,851,700,ml,143.00,23.0%
Jacobs Ladder - Kg,Meat Supply,,1000,g,10.00,0.0%
Jameson 1 Ltr 40%,Vagawond,920,1000,ml,183.69,23.0%
Jameson 700Ml,Catering Providers,2203312,700,ml,21.95,23.0%
Jameson 70Cl 40%,Vagawond,826,700,ml,140.70,23.0%
Jantex Green Rtu Biological Urinal Blocks - 1,Catering Providers,88880417,1,ea,16.99,23.0%
Jose Cuervo Silver Tequila 700Ml,Catering Providers,2261522,700,ml,19.95,23.0%
"Judith Beck, Ink",Le Caveau,LCAU01,750,ml,77.16,23%
Kahlua 700Ml,Catering Providers,2203884,700,ml,14.50,23.0%
Kahlua 70Cl 16%,Vagawond,3095,700,ml,83.78,23.0%
Kalettes Org X Kg,Artisan Foods,,1000,g,11.50,0.0%
Kataifi Pastry,,,400,g,,
Keelings Blackberries 125G,Vegetable Nation,KEB01E,125,g,2.20,0.0%
Keelings Strawberries 400G,Vegetable Nation,KES05E,400,g,4.00,0.0%
Ketel One Vodka 70Cl 40%,Vagawond,1219,700,ml,160.68,23.0%
Kikkoman Soy Sauce (1Ltr),Vegetable Nation,26099,1000,ml,7.00,0%
Kitchen Roll Blue Centrepull 6X1Pk,Vegetable Nation,KRB02B,6,ea,10.00,0.0%
Kiwi,Brokes Food,94008i,1,ea,0.36,
Kiwi Bag,Vegetable Nation,KIB01,6,ea,2.65,
Knot Bamboo Skewer 3.5'' X 100,Catering Providers,7513952,100,ea,3.20,23.0%
Kohl Rabbi Each,Vegetable Nation,KOR01E,1,ea,0.90,0.0%
Kombu Fresh X Kg,Artisan Foods,,1000,g,34.50,0.0%
Kraken Spiced Rum 70Cl 40%,Vagawond,101016,700,ml,162.87,23.0%
Kulana Apple 1Lx12,Vagawond,10427,1000,ml,16.04,23.0%
La Perruche Brown Sugar Cubes 8X750Gm,Sysco,SG100,750,g,33.16,0%
"La Stoppa, Trebbiolo Rosso",Le Caveau,LCIT41R2,750,ml,195.26,23%
Lamb Saddle Full,Meat Supply,,,g,,
Lardo Antica Alto Del Po (1Kg) Kilo,Vegetable Nation,16254,1000,g,31.55,0%
Lardo Di Colonnata (2Kg) Kilo,Vegetable Nation,16149,2000,g,31.55,0%
Lardo Di Colonnata Per Kg,Artisan Foods,,1000,g,38.95,0.0%
"Lardo Di Colonnata~1.7Kg, Kg",Fine Foods,090.505.015,1700,g,38.20,0%
Large Ballygowan 750Ml Still,Vagawond,1506,750,ml,12.50,23.0%
Latino Latte Glass Mug 9.75Oz X 12,Catering Providers,5110874,12,ea,36.00,23.0%
Leek Whole 5Kg,Vegetable Nation,LEW01B,5000,g,11.00,0.0%
Leeks 5Kg Bag,Brokes Food,260034,5000,g,7.99,0.0%
Lemon 100,Vegetable Nation,LEM01B,100,ea,20.00,0.0%
Lemon Bag 6Pk,Vegetable Nation,LEB03E,6,ea,2.95,0.0%
Lemonbalm Bag,Vegetable Nation,,50,g,,
Lemonbalm Pkt,Vegetable Nation,LEM05,1,ea,1.85,
Lemongrass,Vegetable Nation,LEM06,80,g,2.20,
Lemons Each,Brokes Food,121604,1,ea,0.45,0.0%
Les Charmes De Kirwan,O'Briens Wines,30753,3,ea,32.48,23%
Lettuce Baby Gem Box 10 X 2S,Brokes Food,97051,1,ea,11.50,
Lettuce Babyleaf Mixed 500G,Vegetable Nation,LBM03E,500,g,4.55,0.0%
Lettuce Cos Box 10S,Brokes Food,97054,1,ea,12.85,
Lettuce Frisse 1,Vegetable Nation,LEF02E,1,ea,2.00,0.0%
Lettuce Ireland Little Gem 10 X 2,Brokes Food,97051,1,ea,11.50,
Lettuce Lollo Rossa Each,Vegetable Nation,LLR01E,1,ea,1.85,0.0%
Lettuce Oakleaf Each,Vegetable Nation,LEO02E,1,ea,1.85,0.0%
Lime 54,Vegetable Nation,LIM01B,54,ea,12.80,0.0%
Lime Each,Brokes Food,134018,1,ea,0.29,0.0%
Lime Leaves Frozen (100G),Vegetable Nation,,100,g,2.45,
Lime Net 6Pk,Vegetable Nation,LIN01E,6,ea,2.70,0.0%
Linseed / Flaxseed (1Kg),Vegetable Nation,31011,1000,g,7.65,0%
Lrn: Sweet Round Medium (D57Xm)(X120),Vegetable Nation,70355,120,ea,79.80,0%
M-Leaf Alaskan Nasturtium Bag,Vegetable Nation,MAN02E,30g,g,3.50,0.0%
M-Leaf Coriander Bag,Vegetable Nation,MLC01E,30,g,2.30,0.0%
M-Leaf Purple Shiso Bag,Vegetable Nation,MPS01E,30,g,3.10,0.0%
Madeira Cooking (2Ltr)**R.O.I. Only**,Vegetable Nation,88016,2000,ml,28.90,0%
Madregale Rosso Terre Di Cheiti Abruzzo,Le Caveau,LCIT20R,750,ml,51.00,23%
"Maldon Original Sea Salt/ Tub, 1.4Kg",Fine Foods,120.000.000,1400,g,22.85,0%
Mango 9,Vegetable Nation,MAN01,1,ea,2.60,
Mango Rte Each.,Vegetable Nation,MAR01E,1,ea,1.40,0.0%
Mango Urinal Screen X1,Catering Providers,7469147,1,ea,3.10,23.0%
Marrow Split,Meat Supply,,40,ea,1.00,0.0%
Marrow Split,Meat Supply,,1,ea,1.20,
"Marusho Champonzu.. Citrus Ponzu Sc Dark 300Ml,",Fine Foods,080.000.105,300,ml,17.95,0%
"Marusho Namashibori Yuzu Ponzu 300Ml,",Fine Foods,080.000.125,300,ml,17.95,0%
Mascarpone 1.5Kg,Brokes Food,DACHMA,1500,g,13.99,0.0%
Mascarpone Italian (2Kg Tub),Vegetable Nation,40321,2000,g,26.90,0%
Matfer: Piping Bags Disposable 51Cm (X100),Vegetable Nation,E165016,100,ea,17.80,23%
Melon Cantaloupe Each,Brokes Food,134300,1,ea,2.99,0.0%
Melon Canteloupe Each.,Vegetable Nation,MEC03E,1,ea,2.50,0.0%
Membrillo (Quince Jelly) (400G),Vegetable Nation,55007,400,g,4.25,0%
Meyer Fonne Gewurztraminer,Le Caveau,LCAL04,750,ml,104.70,23%
Mickey Finn Sour Apple 500Ml,Catering Providers,2211006,500,ml,9.00,23.0%
Midori Melon 700Ml,Catering Providers,2275068,700,ml,20.70,23.0%
Milk - Whole Full Fat (6 X 2Ltr),Vegetable Nation,45010,2000,ml,16.80,
Milk Full Fat Village Dairy 1 X 2 Litre Each,Brokes Food,780045,2000,ml,2.35,0.0%
Milk Powder Dried (800G) 45050,Vegetable Nation,45022,800,g,18.95,0%
Milk Whole (Arrabawn) 2Ltr,Vegetable Nation,MIW02E,2000,ml,2.10,0.0%
Mini Jumbo Toilet Roll 2Ply 1X12 Ea,Sysco,PD9016,12,ea,16.00,23%
Mint Bag,Vegetable Nation,MIN01E,50,g,1.12,0.0%
Minuty M 2023 6X750Ml,Brokes Food,760075,750,ml,85.56,23.0%
Minuty Prestige 2023 6X750Ml,Brokes Food,761075,750,ml,99.61,23.0%
Mixer Lemon Juice 700Ml,Catering Providers,1567943,700,ml,8.99,23.0%
Mixer Lemon Juice 70Cl,Vagawond,10222,700,ml,42.60,23.0%
Mixer Lime Juice 70Cl,Vagawond,991059,700,ml,40.30,23.0%
Mixer Passion Fruit Puree 6X1Lt,Vagawond,10172,1000,ml,76.45,23.0%
Moet Chandon Brut Nv 6X750Ml,Brokes Food,580075,750,ml,242.52,23.0%
Moet Chandon Non Vintage 75Cl 12%,Vagawond,3520,750,ml,253.47,23.0%
"Mondo Del Vino La Piuma Pecorino Terre Di Chieti 2023, 75Cl",Vagawond,109545,750,ml,8.36,23.0%
Monin Caramel Syrup 1L,Catering Providers,142733,1000,ml,9.95,0%
Monin Gingerbread Syrup 1Lt,Catering Providers,1061766,1000,ml,12.95,23.0%
Monin Mango Puree 1Ltr,Catering Providers,2063540,1000,ml,19.09,23.0%
Monin Passionfruit Puree,Catering Providers,88810701,1,L,19.09,
Monin Peach Syrup 700Ml,Catering Providers,2263555,700,ml,11.16,
Monin Vanilla Syrup 1Ltr,Catering Providers,2072715,1,L,10.79,23.0%
Monster Mango Loco Can 24 X 500,Brokes Food,770129,500,ml,32.21,
Monster Original Green Cans 24 X 500Ml,Brokes Food,770057,500,ml,32.21,
Monster Ultra Zero White 24 X 500Ml,Brokes Food,770130,500,ml,28.88,
Mooli Each,Vegetable Nation,MOO01E,1,ea,2.00,0.0%
Mooli Stick Each,Brokes Food,168772,1,ea,1.99,0.0%
Msk: Beetroot Spray Dried Powder (500G),Vegetable Nation,55226,500,g,36.80,0%
Msk: Freeze Dried Raspberry Powder (200G),Vegetable Nation,55290,200,g,34.90,23%
Murray Double Old Fashioned 12.75Oz X 6,Catering Providers,77778748,6,ea,22.24,23.0%
Murray Red Wine 19.75Oz X 6,Catering Providers,77778745,6,ea,22.24,23.0%
Murray Wine 14.75Oz X 6,Catering Providers,77778750,6,ea,22.24,23.0%
"Musar Hochar 2019, 75Cl",Vagawond,107380,750,ml,23.42,23.0%
Mushroom Button,Brokes Food,,2200,g,7.99,
Mushroom Girolles 1Kg,Vegetable Nation,MUG01B,1000,g,30.63,0.0%
Mushroom Hen Of The Wood 5Kg,Vegetable Nation,MUH02,1.5,kg,39.00,
Mushroom Ireland Flat 1.8Kg Loose,Brokes Food,97098,1.8,kg,6.10,
Mushroom King Oyster 1Kg,Brokes Food,146209,1000,g,15.95,0.0%
Mushroom King Oyster Organic Irish 1Kg,Vegetable Nation,MKO03B,1000,g,18.80,0.0%
Mushroom Oyster Organic 1Kg,Vegetable Nation,MUO01B,1000,g,16.50,0.0%
Mushroom Oyster Yellow 1Kg,Brokes Food,146307,1000,g,18.71,0.0%
Mushroom Paris Brown ,Vegetable Nation,MPB02,2200,g,7.00,
Mushroom Portabello 1.5Kg,Vegetable Nation,MUP01B,1500,g,6.00,0.0%
Mushroom Portobello 1.5Kg,Brokes Food,146200,1500,g,6.55,0.0%
Mushroom Shiitake Organic Irish 1Kg,Vegetable Nation,MSO01B,1000,g,18.80,0.0%
Mushroom Shimeji Brown,Vegetable Nation,MSB01,150,g,2.20,
Mushroom Shimeji White,Vegetable Nation,MSW01,150,g,2.20,
Mushroom Trumpet 1Kg,Vegetable Nation,MUT01B,1000,g,26.00,0.0%
Mushroom- Dried Porcini Cepes (500G),Vegetable Nation,22060,500,g,44.90,0%
Mushroom- Frozen Porcini Cepes Pieces (1Kg),Vegetable Nation,22082,1000,g,22.80,0%
Mustard: Wholegrain- Plastic Jar(1Kg),Vegetable Nation,27036,1000,g,5.95,
Naturtium Leaves 30Gm Punnet,Brokes Food,186037,30,g,3.06,0%
Nicky Elite Toilet Roll 3Ply 10 X 4Pk,Catering Providers,5976229,10,ea,15.95,23.0%
Nikka From The Barrel 50Cl 51.4%,Vagawond,91173,500,ml,48.25,23.0%
Nori Japanese Dried Seaweed (50X Sheets),Vegetable Nation,,400,g,25.90,
Noval Fine Ruby Port,Vagawond,11449,1,ea,15.00,23.0%
Nutmeg Whole (100G),Vegetable Nation,31106,100,g,4.95,0%
"Nuts - Smoked Almonds, 1Kg",Fine Foods,030.310.055,1000,g,20.50,23%
Nuts- Hazelnuts Blanched Skin-Off (1Kg),Vegetable Nation,75055,1000,g,17.50,0%
Nuts- Macadamia (1Kg),Vegetable Nation,75170,1000,g,31.50,0%
Nuts- Pecan Halves (1Kg),Vegetable Nation,75140,1000,g,24.80,0%
Nuts- Pine Kernals (500G),Vegetable Nation,75136,500,g,21.80,
Nuts- Pistachio Skin-Off (1Kg),Vegetable Nation,75106,1000,g,56.90,0%
Nuts- Pistachio Skin-Off Iran (500G)[Na Use 75106],Vegetable Nation,75105,500,g,29.85,0%
"O-Med Chardonnay White Wine Vinegar 2L,",Fine Foods,080.100.046,2000,ml,26.85,0%
O-Med Pedro Ximenez Sherry Vinegar 2L,Fine Foods,080.100.120,2000,ml,26.85,0%
"Oil - Molino Xv Olive Oil Spain 5L, Ea",Fine Foods,080.200.020,5000,ml,85.35,0%
Oil- Pumpkin Seed Pure Organic (250Ml Tin),Vegetable Nation,26091,250,ml,9.80,0%
Oils Pomace Oil Blend 1 X 5 L,Brokes Food,745009,5,L,31.55,
"Olga Raffault Chinon Les Barnabes 2020, 75Cl",Vagawond,107835,750,ml,17.25,23.0%
"Olga Raffault Chinon Les Picasses 2016, 75Cl",Vagawond,107398,750,ml,23.17,23.0%
Olive Oil Extra Virgin -Le Blanc (1Ltr),Vegetable Nation,26026,1000,ml,24.60,0%
Olive Oil Extra Virgin (1Ltr),Vegetable Nation,26005,1000,ml,13.80,0%
Olive Oil Extra Virgin (5Ltr),Vegetable Nation,26000,5000,ml,62.80,0%
Olive Oil Pomace 5L,Vegetable Nation,OOP02E,5000,ml,21.00,0.0%
"Olivier Leflaive Puligny Montrachet 2022, 75Cl",Vagawond,108602,750,ml,93.83,23.0%
Onion Pearl White 5Kg,Vegetable Nation,ONP01B,5000,g,23.80,0.0%
Onion Red  ,Brokes Food,97245,1,ea,0.99,
Onion Red Prepack 1Kg,Vegetable Nation,ORP03E,1000,g,1.95,0.0%
Onion Roscoff 1Kg,Vegetable Nation,ONR02E,1000,g,6.00,0.0%
Onion Roscoff Loose 5Kg,Brokes Food,97268,5,kg,36.61,
Onion Spain 20Kg,Brokes Food,208021,20000,g,12.25,0.0%
Onion White Peeled 2Kg,Vegetable Nation,OWP02B,2000,g,4.50,0.0%
Onion White Skin 10Kg,Vegetable Nation,OWS05B,10000,g,26.00,0.0%
Onions Fried & Dried (400G),Vegetable Nation,31066,400,g,4.95,0%
Onions Pearl Silver-Skin Frozen (2.5Kg),Vegetable Nation,25024,2500,g,8.95,0%
Orange Blood,Vegetable Nation,ORB02,1,ea,0.60,
Orange Net ,Vegetable Nation,ORN02,6,ea,4.40,
Oregano 1Kg,Vegetable Nation,ORE02B,1000,g,18.80,0.0%
Oregano Bag,Vegetable Nation,ORE01E,50,g,1.55,0.0%
Out On Bale 30L Keg,Farringtons Brewery,,30000,ml,105.00,23.0%
Oyster Harty Rock No.2 (X35) 90-110G [Na] A9264,Vegetable Nation,,35,ea,36.20,
Pago De Tharsys Cava Brut Nature,Le Caveau,LCSP25,750,ml,84.42,23%
Pampero Rum Blanco 700Ml,Catering Providers,713777,700,ml,24.06,0%
Parmesan Wedge,Vegetable Nation,PAW04,1,kg,12.00,
Parsley Flat 1Kg,Vegetable Nation,PAF02B,1000,g,10.00,0.0%
Parsley Flat Pkt,Vegetable Nation,PAF01,1,ea,1.20,
Parsnip Ireland . 12 X 500 Gm . Pre Pack,Brokes Food,PARP,500,g,1.10,0.0%
Passoa Liqueur 700Ml X 6,Catering Providers,2271046,700,ml,93.60,23.0%
Pasta Elbows 77 20X500G,Vegetable Nation,PAE01B,500,g,26.88,0.0%
Pcb: Lecithin Soy - Emul S (600G) No.8,Vegetable Nation,33186,600,g,38.50,0%
Peanut Butter Smooth (340G) 75167,Vegetable Nation,75169,340,g,4.15,0%
Pear Conference Each,Brokes Food,122448,1,ea,0.38,0.0%
Pear Loose Premium Each,Vegetable Nation,PEL03E,1,ea,0.44,0.0%
Pectin Yellow E440 (1Kg),Vegetable Nation,,1000,g,105.00,
"Pedro Ximinez Vinegar 12Yo, 2 Litre",Artisan Foods,,2000,ml,23.95,0.0%
Peeled Plum Tomatoes,Brokes Food,767010,2.55,kg,26.95,
Penfolds Bin 28 Kalimna,O'Briens Wines,13WAUS008,1,ea,26.25,23%
Pepper Chilli Green 250G,Vegetable Nation,PCG06E,250,g,2.20,0.0%
Pepper Chilli Green Jalapeno/Serano 1Kg,Vegetable Nation,PCG04B,1000,g,8.20,0.0%
Pepper Green 5Kg,Brokes Food,97028,5000,g,0.85,
Pepper Green Prepack 5X1Kg,Vegetable Nation,PGP01,1,kg,4.80,
Pepper Szechuan (200G),Vegetable Nation,31222,200,g,7.30,0%
Peppercorns Black Whole (500G Tub),Vegetable Nation,31417,500,g,8.20,0%
Peppercorns Green In Brine (750G Tin),Vegetable Nation,31195,750,g,10.90,0%
Peppercorns Pink Dried (250G),Vegetable Nation,31416,250,g,16.90,0%
Peppercorns Pink Dried (250G),Vegetable Nation,31416,250,g,12.95,
Pernod 700Ml,Catering Providers,2203885,700,ml,24.95,
Peroni Long Neck Beer 330Ml X 24,Catering Providers,2310659,24,ea,28.95,23.0%
"Pico Maccario Barbaresco 2019, 75Cl",Vagawond,107490,750,ml,23.17,23.0%
Pineapple Juice 1Ltr X 12,Catering Providers,212341,1000,ml,19.75,0%
"Pira Luigi Serralunga Barolo 2020, 75Cl",Vagawond,109481,750,ml,33.75,23.0%
Pistachio Paste (1Kg) Trablit,Vegetable Nation,,1000,g,69.95,
Pork Belly Boneless Rind-On (4Kg) Kilo,Vegetable Nation,,4000,g,10.80,
Pork Cheeks (10Kg) Kilo,Vegetable Nation,,10000,g,13.65,
Pork Fillet (5 X370G) Kilo,Vegetable Nation,,370,g,11.40,
Port Red Cooking (2Ltr) **R.O.I. Only,Vegetable Nation,88005,2000,ml,25.90,0%
Port Red Cooking (2Ltr) **R.O.I. Only**,Vegetable Nation,88005,2000,ml,21.80,
Possoa Passion Fruit Liqueur 70Cl 17%,Vagawond,10641,700,ml,71.00,23.0%
Potato Baker Rooster 10Kg,Vegetable Nation,POB03B,10000,g,11.00,0.0%
Potato Chipping Agria Washed 20Kg,Vegetable Nation,PCA01B,20000,g,25.00,0.0%
Potato Markies Washed,Vegetable Nation,PMW02,25,kg,16.00,
Potato Rooster Washed 10Kg,Brokes Food,POWLRO,10000,g,11.99,0.0%
Potato Starch (1Kg),Vegetable Nation,33040,1000,g,3.90,0%
Premier Cling Film 18Inchx300M 1X1Ea,Sysco,492324,1,ea,6.50,23%
Premier Tin Foil 18Inchx75M 1X1 Ea,Sysco,492345,1,ea,7.95,23%
Premium Multiple Magnetic Charging Shelf (6),Catering Providers,77778695,6,ea,120.00,23.0%
Prep Cabbage Green Shredded 2Kg,Brokes Food,PVCG2,2000,g,3.90,0.0%
Prep Potato Fondant Each,Brokes Food,98240,1,ea,0.90,
Prep Potato Grated 5Kg,Brokes Food,200695,5000,g,12.00,0.0%
Prep Potato Sliced 5Kg,Brokes Food,98246,5,kg,9.40,
Prep Veg Various Garlic Peeled 1 Kg Tub,Brokes Food,98141,1,kg,5.25,
Prep Veg Various Potato Grated . 5 Kg Bag,Brokes Food,PVPOGR5,5000,g,15.00,0.0%
Prunes Semi-Dried & Pitted (1Kg),Vegetable Nation,54015,1000,g,11.00,0%
Pudding- Inch House Black Fresh Blood (1.2Kg),Vegetable Nation,18299,1200,g,18.90,0%
Pudding:Black Pudding-Irish Hugh Maguire (500G),Vegetable Nation,18600,500,g,5.85,0%
Pumpkin Kabocha Green Each,Vegetable Nation,PKG01E,1,ea,8.15,0.0%
Pumpkin Seeds (1Kg),Vegetable Nation,31069,1000,g,9.00,0%
Puree Ponthier- Acai Berry (1 Litre),Vegetable Nation,50266,1000,ml,18.80,0%
Puree Ponthier- Blood Orange Pgi (1 Litre),Vegetable Nation,50129,1000,ml,8.50,
Puree Ponthier- Cranberry (1 Litre),Vegetable Nation,50154,1000,ml,11.80,0%
Puree Ponthier- Raspberry (1 Litre),Vegetable Nation,50150,1000,ml,12.95,
Puree Ponthier- Rhubarb Red (1 Litre),Vegetable Nation,50100,1000,ml,12.80,0%
"Quinta Soalheiro Alvarinho 2023, 75Cl",Vagawond,109169,750,ml,14.50,23.0%
Rabbit Saddles (360G X 4) Kilo,Vegetable Nation,14015,360,g,16.90,0%
Radish Each,Vegetable Nation,RAD01E,1,ea,0.95,0.0%
Radish Pre Pack 125G Each,Brokes Food,RADP,125,g,0.55,0.0%
Raspberries 125G,Vegetable Nation,RAS02E,125,g,2.50,0.0%
Raspberries Punnet 125G Each,Brokes Food,165118,125,g,2.45,0.0%
"Red Wine 11% Cooking 5L, Ea",Fine Foods,080.300.140,5000,ml,18.95,0%
Redbreast 12Yo 70Cl 40%,Vagawond,3101,700,ml,156.03,23.0%
Relish Tomato 1Kg,Brokes Food,RELTA1,1000,g,9.06,0.0%
